ID;Strecke;Netz;Kategorie;Specialcase;Uumzuleitenden Züge;Verspätungen = / > 5 Minuten;Zugausfälle;Zugvorplanfahrten;gesamte Veränderungen;abweichende / ausfallende Verkehrshalte;Zugbezogende Reglungen; örtliche Leistungen;KiGBAU;Maßnahmenart;Dauer in Tagen;Minuten
99014;146;Netz Nord;Ad-hoc, K1;1;0;0;39;0;39;0;0;19,5;1;BNV;2;204
99014;146;Netz Nord;Ad-hoc, K1;1;0;0;0;0;0;0;0;0;0;BNV;2;5
99015;146;Netz Nord;K5;1;0;0;78;0;78;0;0;39;1;BNV;3;407
99015;146;Netz Nord;Ad-hoc, K1;1;0;0;0;0;0;0;0;0;0;BNV;3;5
99016;103;Netz Mitte;Ad-hoc, K5;1;0;0;4;0;4;0;0;2;1;F;2;424
99016;103;Netz Mitte;Ad-hoc, K1;1;0;0;0;0;0;0;0;0;0;BNV;2;5
99017;130;Netz West;K5;1;0;0;4;0;4;0;0;2;1;F;2;432
99018;146;Netz Nord;K10;3;0;0;1184;0;1184;0;0;592;1;Schleibr.;30;295
99018;146;Netz Nord;K5;3;0;0;0;0;0;0;0;0;0;Schleibr.;30;5
99018;146;Netz Nord;K10;3;0;0;435;0;435;0;0;217,5;0;Schleibr.;11;278
99018;146;Netz Nord;K5;3;0;0;0;0;0;0;0;0;0;Schleibr.;11;5
99018;146;Netz Nord;K10;3;0;0;0;0;0;0;0;0;1;Schleibr.;20;69
99018;146;Netz Nord;K5;3;0;0;0;0;0;0;0;0;0;Schleibr.;20;5
99019;145A;Netz Ost;K1;1;0;0;2;0;2;0;0;1;1;F;1;95
99020;146;Netz Nord;Ad-hoc, K1;1;0;0;2;0;2;0;0;1;1;F;1;191
AKN_01;133;Netz Nord;K1;3;0;0;0;0;0;0;0;0;1;A;1;14
AKN_16;133;Netz Nord;K1;3;0;0;0;0;0;0;0;0;1;A;2;9
AKN_16a;133;Netz Nord;K1;3;0;0;64;0;64;0;0;32;1;A;4;174
